"subject","array.type","compat","RT","ACC","WMC","Err"
"1403","No-Line","comp",445.492857142857,0.972222222222222,"High_WMC",0.0277777777777778
"1404","No-Line","comp",480.447552447552,0.993055555555556,"High_WMC",0.00694444444444442
"1405","No-Line","comp",608.152,0.984251968503937,"High_WMC",0.015748031496063
"1406","No-Line","comp",507.795454545455,0.923076923076923,"High_WMC",0.0769230769230769
"1407","No-Line","comp",507.978417266187,0.985815602836879,"High_WMC",0.0141843971631206
"1408","No-Line","comp",438.549295774648,0.986111111111111,"High_WMC",0.0138888888888888
"1409","No-Line","comp",638.114285714286,0.979020979020979,"High_WMC",0.0209790209790209
"1410","No-Line","comp",602.81679389313,0.909722222222222,"High_WMC",0.0902777777777778
"1411","No-Line","comp",524.171641791045,0.964028776978417,"High_WMC",0.0359712230215827
"1412","No-Line","comp",483.460431654676,0.965277777777778,"High_WMC",0.0347222222222222
"1413","No-Line","comp",421.568181818182,0.923076923076923,"High_WMC",0.0769230769230769
"1414","No-Line","comp",645.675925925926,0.939130434782609,"High_WMC",0.0608695652173913
"1415","No-Line","comp",425.538461538462,0.902777777777778,"High_WMC",0.0972222222222222
"1416","No-Line","comp",557.433566433566,0.993055555555556,"High_WMC",0.00694444444444442
"1417","No-Line","comp",431.35,0.985915492957746,"High_WMC",0.0140845070422535
"1418","No-Line","comp",545.223021582734,0.985815602836879,"High_WMC",0.0141843971631206
"1419","No-Line","comp",538.313868613139,0.951388888888889,"High_WMC",0.0486111111111112
"1420","No-Line","comp",483.833333333333,1,"High_WMC",0
"1421","No-Line","comp",411.430555555556,1,"High_WMC",0
"1422","No-Line","comp",592.669014084507,0.986111111111111,"High_WMC",0.0138888888888888
"1423","No-Line","comp",527.048951048951,0.993055555555556,"High_WMC",0.00694444444444442
"1424","No-Line","comp",382.028776978417,0.965277777777778,"High_WMC",0.0347222222222222
"1425","No-Line","comp",469.649635036496,0.958041958041958,"High_WMC",0.041958041958042
"1426","No-Line","comp",491.556338028169,0.986111111111111,"High_WMC",0.0138888888888888
"1301","Line","comp",547.225806451613,0.892086330935252,"Low_WMC",0.107913669064748
"1302","Line","comp",526.063829787234,0.986013986013986,"Low_WMC",0.013986013986014
"1303","Line","comp",601.517985611511,0.972027972027972,"Low_WMC",0.027972027972028
"1304","Line","comp",525.085714285714,0.972222222222222,"Low_WMC",0.0277777777777778
"1305","Line","comp",390.743055555556,1,"Low_WMC",0
"1306","Line","comp",624.8203125,0.895104895104895,"Low_WMC",0.104895104895105
"1307","Line","comp",389.828571428571,0.972222222222222,"Low_WMC",0.0277777777777778
"1308","Line","comp",539.319444444444,1,"Low_WMC",0
"1309","Line","comp",508.553191489362,0.986013986013986,"Low_WMC",0.013986013986014
"1310","Line","comp",452.913669064748,0.985815602836879,"Low_WMC",0.0141843971631206
"1311","Line","comp",531.762237762238,0.993055555555556,"Low_WMC",0.00694444444444442
"1312","Line","comp",454.583333333333,0.916666666666667,"Low_WMC",0.0833333333333334
"1313","Line","comp",481.920863309353,0.97887323943662,"Low_WMC",0.0211267605633803
"1314","Line","comp",583.294964028777,0.972027972027972,"Low_WMC",0.027972027972028
"1315","Line","comp",625.259259259259,0.985401459854015,"Low_WMC",0.0145985401459854
"1316","Line","comp",565.772058823529,0.944444444444444,"Low_WMC",0.0555555555555556
"1317","Line","comp",644.078014184397,0.979166666666667,"Low_WMC",0.0208333333333334
"1318","Line","comp",505.746031746032,0.893617021276596,"Low_WMC",0.106382978723404
"1319","Line","comp",507.636363636364,0.993055555555556,"Low_WMC",0.00694444444444442
"1320","Line","comp",676.528571428571,0.985915492957746,"Low_WMC",0.0140845070422535
"1321","Line","comp",567.042253521127,0.986111111111111,"Low_WMC",0.0138888888888888
"1322","Line","comp",520.488888888889,0.957446808510638,"Low_WMC",0.0425531914893617
"1323","Line","comp",541.825757575758,0.942857142857143,"Low_WMC",0.0571428571428572
"1324","Line","comp",494.335714285714,0.985915492957746,"Low_WMC",0.0140845070422535
